chrom,pre_name,id,stop_pre_build,start_pre_build,indiv_name_nunique,indiv_name_count,pos_nunique,if_complex
chr1,hsa-mir-1295a,MI0006357,171101806,171101728.0,3,3,1,0
chr1,hsa-mir-1295b,MI0019146,171101798,171101739.0,3,3,1,0
chr1,hsa-mir-181a-1,MI0000289,198859153,198859044.0,1,1,1,0
chr1,hsa-mir-1843,MI0032314,175968479,175968370.0,1,1,1,0
chr1,hsa-mir-30e,MI0000749,40754446,40754355.0,1,1,1,0
chr1,hsa-mir-3675,MI0016076,16859021,16858949.0,1,1,1,0
chr1,hsa-mir-488,MI0003123,177029445,177029363.0,1,1,1,0
chr1,hsa-mir-554,MI0003559,151545891,151545796.0,3,3,1,0
chr1,hsa-mir-664a,MI0006442,220200619,220200538.0,1,1,1,0
chr1,hsa-mir-6742,MI0022587,228397109,228397048.0,2,2,1,0
chr10,hsa-mir-4683,MI0017315,35641252,35641172.0,1,1,1,0
chr10,hsa-mir-548f-1,MI0006374,54607957,54607874.0,1,1,1,0
chr10,hsa-mir-609,MI0003622,104218883,104218789.0,1,1,1,0
chr10,hsa-mir-936,MI0005758,104048186,104048089.0,1,1,1,0
chr11,hsa-mir-1261,MI0006396,90869202,90869121.0,1,1,1,0
chr11,hsa-mir-6860,MI0022707,67045708,67045643.0,1,1,1,0
chr11,hsa-mir-7155,MI0023615,64341904,64341849.0,1,1,1,0
chr12,hsa-mir-920,MI0005712,24212495,24212421.0,1,3,3,1
chr13,hsa-mir-17,MI0000071,91350688,91350605.0,2,2,1,0
chr14,hsa-mir-656,MI0003678,101066801,101066724.0,1,1,1,0
chr14,hsa-mir-7855,MI0025525,64785686,64785626.0,1,1,1,0
chr15,hsa-mir-211,MI0000287,31065141,31065032.0,1,1,1,0
chr17,hsa-mir-1203,MI0006335,48156511,48156427.0,1,1,1,0
chr17,hsa-mir-21,MI0000077,59841337,59841266.0,1,1,1,0
chr18,hsa-mir-924,MI0005716,39622175,39622123.0,1,1,1,0
chr19,hsa-mir-4745,MI0017384,805001,804940.0,2,2,1,0
chr20,hsa-mir-4758,MI0017399,62332557,62332487.0,1,1,1,0
chr22,hsa-mir-7109,MI0022960,31621531,31621467.0,1,1,1,0
chr3,hsa-mir-567,MI0003573,112112898,112112801.0,1,1,1,0
chr5,hsa-mir-1303,MI0006370,154685861,154685776.0,2,2,1,0
chr6,hsa-mir-206,MI0000490,52144434,52144349.0,1,1,1,0
chr7,hsa-mir-182,MI0000272,129770492,129770383.0,1,1,1,0
chr8,hsa-mir-548aa-1,MI0016689,123348130,123348034.0,1,2,2,1
chr8,hsa-mir-597,MI0003609,9741768,9741672.0,2,2,1,0
chr9,hsa-mir-204,MI0000284,70810084,70809975.0,1,1,1,0
chrX,hsa-mir-503,MI0003188,134546398,134546328.0,1,1,1,0
chrX,hsa-mir-542,MI0003686,134541437,134541341.0,1,1,1,0
chrX,hsa-mir-664b,MI0019134,154768656,154768596.0,1,1,1,0
