chrom,pre_name,id,stop_pre_build,start_pre_build,indiv_name_nunique,indiv_name_count,pos_nunique,if_complex
chr1,hsa-mir-3117,MI0014130,66628517.0,66628440.0,1,1,1,0
chr1,hsa-mir-3675,MI0016076,16859021.0,16858949.0,1,1,1,0
chr1,hsa-mir-548ac,MI0016762,116560111.0,116560024.0,1,1,1,0
chr1,hsa-mir-6730,MI0022575,12579023.0,12578957.0,1,1,1,0
chr1,hsa-mir-6859-1,MI0022705,17436.0,17369.0,1,1,1,0
chr11,hsa-mir-100,MI0000102,122152308.0,122152229.0,1,1,1,0
chr11,hsa-mir-3167,MI0014198,126988542.0,126988458.0,1,2,2,1
chr11,hsa-mir-4300,MI0015831,81890836.0,81890741.0,1,2,2,1
chr11,hsa-mir-4485,MI0016846,10508326.0,10508270.0,1,1,1,0
chr11,hsa-mir-548k,MI0006354,70284070.0,70283955.0,1,2,2,1
chr11,hsa-mir-5579,MI0019133,79422226.0,79422169.0,1,2,2,1
chr11,hsa-mir-7155,MI0023615,64341904.0,64341849.0,1,1,1,0
chr12,hsa-mir-1293,MI0006355,50234212.0,50234142.0,1,1,1,0
chr12,hsa-mir-3612,MI0016002,128294178.0,128294092.0,1,1,1,0
chr12,hsa-mir-3908,MI0016412,123536534.0,123536409.0,2,3,2,1
chr12,hsa-mir-4472-2,MI0016824,116428318.0,116428252.0,1,2,2,1
chr12,hsa-mir-5700,MI0019307,94561859.0,94561789.0,1,2,2,1
chr12,hsa-mir-620,MI0003634,116148654.0,116148560.0,1,2,2,1
chr12,hsa-mir-6505,MI0022217,48132867.0,48132797.0,1,1,1,0
chr13,hsa-mir-3613,MI0016003,49996501.0,49996415.0,1,2,2,1
chr14,hsa-mir-1260a,MI0006394,77266290.0,77266218.0,1,1,1,0
chr14,hsa-mir-154,MI0000480,101059838.0,101059755.0,1,1,1,0
chr14,hsa-mir-4308,MI0015839,54878193.0,54878113.0,1,1,1,0
chr14,hsa-mir-624,MI0003638,31014742.0,31014646.0,1,1,1,0
chr15,hsa-mir-4511,MI0016877,65719332.0,65719246.0,1,1,1,0
chr15,hsa-mir-5094,MI0017983,89850721.0,89850637.0,1,1,1,0
chr15,hsa-mir-8063,MI0025899,36972901.0,36972821.0,1,1,1,0
chr16,hsa-mir-6859-4,MI0031521,17119.0,17052.0,1,1,1,0
chr16,hsa-mir-8065,MI0025901,5632566.0,5632467.0,1,1,1,0
chr17,hsa-mir-4733,MI0017370,31094425.0,31094350.0,1,1,1,0
chr17,hsa-mir-4739,MI0017377,79707249.0,79707176.0,1,1,1,0
chr19,hsa-mir-371a,MI0000779,53787741.0,53787675.0,1,1,1,0
chr19,hsa-mir-371b,MI0017393,53787742.0,53787677.0,1,1,1,0
chr19,hsa-mir-519c,MI0003148,53686555.0,53686469.0,1,1,1,0
chr19,hsa-mir-643,MI0003658,52281893.0,52281797.0,1,1,1,0
chr19,hsa-mir-6792,MI0022637,7617505.0,7617439.0,2,2,2,0
chr2,hsa-mir-4430,MI0016769,33418564.0,33418516.0,1,1,1,0
chr2,hsa-mir-4433a,MI0016773,64340839.0,64340759.0,1,1,1,0
chr2,hsa-mir-4433b,MI0025511,64340848.0,64340747.0,1,1,1,0
chr2,hsa-mir-4772,MI0017414,102432366.0,102432289.0,1,1,1,0
chr2,hsa-mir-558,MI0003564,32532246.0,32532153.0,1,3,3,1
chr2,hsa-mir-8485,MI0027288,50696262.0,50696172.0,1,1,1,0
chr20,hsa-mir-644a,MI0003659,34466418.0,34466325.0,1,1,1,0
chr22,hsa-mir-3928,MI0016438,31160119.0,31160062.0,1,1,1,0
chr22,hsa-mir-659,MI0003683,37847774.0,37847678.0,1,1,1,0
chr5,hsa-mir-1303,MI0006370,154685861.0,154685776.0,1,1,1,0
chr5,hsa-mir-4633,MI0017260,129097766.0,129097688.0,1,2,2,1
chr6,hsa-mir-1273c,MI0014171,154853436.0,154853360.0,1,1,1,0
chr6,hsa-mir-3143,MI0014167,27147688.0,27147626.0,1,1,1,0
chr6,hsa-mir-4463,MI0016811,75428473.0,75428407.0,1,1,1,0
chr7,hsa-mir-148a,MI0000253,25949986.0,25949919.0,1,1,1,0
chr7,hsa-mir-3683,MI0016084,7067045.0,7066964.0,1,1,1,0
chr7,hsa-mir-4285,MI0015891,102293187.0,102293103.0,1,1,1,0
chr7,hsa-mir-5090,MI0017979,102465826.0,102465742.0,1,1,1,0
chr7,hsa-mir-550a-2,MI0003601,32733077.0,32732981.0,1,1,1,0
chr7,hsa-mir-550b-2,MI0016687,32733077.0,32732981.0,1,1,1,0
chr8,hsa-mir-5680,MI0019280,102125515.0,102125432.0,1,1,1,0
chr8,hsa-mir-7705,MI0025241,100703024.0,100702968.0,1,1,1,0
chrX,hsa-mir-3672,MI0016073,121371053.0,121370972.0,1,2,2,1
