chrom,name,id,start,stop,orientation,based_on_coordinates,arm,start_pre_build,type,pre_name,confidence,stop_pre_build,balance,mirgenedb_ID
chr1,hsa-mir-6859-1_flanking-3,MI0022705,17344,17368,-,yes,3p,17369.0,flanking-3,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_post-seed,MI0022705,17369,17383,-,yes,3p,17369.0,post-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_seed,MI0022705,17384,17390,-,yes,3p,17369.0,seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_pre_seed,MI0022705,17391,17391,-,yes,3p,17369.0,pre-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_loop,MI0022705,17392,17408,-,yes,loop,17369.0,loop,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_post-seed,MI0022705,17409,17423,-,yes,5p,17369.0,post-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_seed,MI0022705,17424,17430,-,yes,5p,17369.0,seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_pre_seed,MI0022705,17431,17431,-,yes,5p,17369.0,pre-seed,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-6859-1_flanking-5,MI0022705,17432,17456,-,yes,5p,17369.0,flanking-5,hsa-mir-6859-1,High,17436,5p,
chr1,hsa-mir-1302-2_flanking-5,MI0006363,30385,30409,+,no,5p,30366.0,flanking-5,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_pre-seed,MI0006363,30410,30410,+,no,5p,30366.0,pre-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_seed,MI0006363,30411,30417,+,no,5p,30366.0,seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pred-5_post-seed,MI0006363,30418,30432,+,no,5p,30366.0,post-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_loop,MI0006363,30433,30437,+,no,loop,30366.0,loop,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_pre-seed,MI0006363,30438,30438,+,yes,3p,30366.0,pre-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_seed,MI0006363,30439,30445,+,yes,3p,30366.0,seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_post-seed,MI0006363,30446,30458,+,yes,3p,30366.0,post-seed,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-1302-2_flanking-3,MI0006363,30459,30483,+,yes,3p,30366.0,flanking-3,hsa-mir-1302-2,Low,30503,3p,
chr1,hsa-mir-12136_flanking-3,MI0039740,567970,567994,-,no,3p,632615.0,flanking-3,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3_post-seed,MI0039740,567995,568030,-,no,3p,632615.0,post-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3-seed,MI0039740,568031,568037,-,no,3p,632615.0,seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pred-3_pre-seed,MI0039740,568038,568038,-,no,3p,632615.0,pre-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_loop,MI0039740,568039,568047,-,no,loop,632615.0,loop,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_post-seed,MI0039740,568048,568057,-,yes,5p,632615.0,post-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_seed,MI0039740,568058,568064,-,yes,5p,632615.0,seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_pre_seed,MI0039740,568065,568065,-,yes,5p,632615.0,pre-seed,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-12136_flanking-5,MI0039740,568066,568090,-,yes,5p,632615.0,flanking-5,hsa-mir-12136,Low,632685,5p,
chr1,hsa-mir-200b_flanking-5,MI0000342,1102479,1102503,+,yes,5p,1167104.0,flanking-5,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_pre-seed,MI0000342,1102504,1102504,+,yes,5p,1167104.0,pre-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_seed,MI0000342,1102505,1102511,+,yes,5p,1167104.0,seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_post-seed,MI0000342,1102512,1102525,+,yes,5p,1167104.0,post-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_loop,MI0000342,1102526,1102539,+,yes,loop,1167104.0,loop,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_pre-seed,MI0000342,1102540,1102540,+,yes,3p,1167104.0,pre-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_seed,MI0000342,1102541,1102547,+,yes,3p,1167104.0,seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_post-seed,MI0000342,1102548,1102561,+,yes,3p,1167104.0,post-seed,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200b_flanking-3,MI0000342,1102562,1102586,+,yes,3p,1167104.0,flanking-3,hsa-mir-200b,High,1167198,3p,Hsa-Mir-8-P2a_pre
chr1,hsa-mir-200a_flanking-5,MI0000737,1103233,1103257,+,yes,5p,1167863.0,flanking-5,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_pre-seed,MI0000737,1103258,1103258,+,yes,5p,1167863.0,pre-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_seed,MI0000737,1103259,1103265,+,yes,5p,1167863.0,seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_post-seed,MI0000737,1103266,1103279,+,yes,5p,1167863.0,post-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_loop,MI0000737,1103280,1103295,+,yes,loop,1167863.0,loop,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_pre-seed,MI0000737,1103296,1103296,+,yes,3p,1167863.0,pre-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_seed,MI0000737,1103297,1103303,+,yes,3p,1167863.0,seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_post-seed,MI0000737,1103304,1103317,+,yes,3p,1167863.0,post-seed,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-200a_flanking-3,MI0000737,1103318,1103342,+,yes,3p,1167863.0,flanking-3,hsa-mir-200a,High,1167952,3p,Hsa-Mir-8-P1a_pre
chr1,hsa-mir-429_flanking-5,MI0001641,1104375,1104399,+,no,5p,1169005.0,flanking-5,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_pre-seed,MI0001641,1104400,1104400,+,no,5p,1169005.0,pre-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_seed,MI0001641,1104401,1104407,+,no,5p,1169005.0,seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pred-5_post-seed,MI0001641,1104408,1104420,+,no,5p,1169005.0,post-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_loop,MI0001641,1104421,1104434,+,no,loop,1169005.0,loop,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_pre-seed,MI0001641,1104435,1104435,+,yes,3p,1169005.0,pre-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_seed,MI0001641,1104436,1104442,+,yes,3p,1169005.0,seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_post-seed,MI0001641,1104443,1104456,+,yes,3p,1169005.0,post-seed,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-429_flanking-3,MI0001641,1104457,1104481,+,yes,3p,1169005.0,flanking-3,hsa-mir-429,Low,1169087,3p,Hsa-Mir-8-P3a_pre
chr1,hsa-mir-6726_flanking-3,MI0022571,1231465,1231489,-,yes,3p,1296110.0,flanking-3,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_post-seed,MI0022571,1231490,1231501,-,yes,3p,1296110.0,post-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_seed,MI0022571,1231502,1231508,-,yes,3p,1296110.0,seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_pre_seed,MI0022571,1231509,1231509,-,yes,3p,1296110.0,pre-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_loop,MI0022571,1231510,1231524,-,yes,loop,1296110.0,loop,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_post-seed,MI0022571,1231525,1231537,-,yes,5p,1296110.0,post-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_seed,MI0022571,1231538,1231544,-,yes,5p,1296110.0,seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_pre_seed,MI0022571,1231545,1231545,-,yes,5p,1296110.0,pre-seed,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6726_flanking-5,MI0022571,1231546,1231570,-,yes,5p,1296110.0,flanking-5,hsa-mir-6726,High,1296170,both,
chr1,hsa-mir-6727_flanking-3,MI0022572,1247857,1247881,-,yes,3p,1312502.0,flanking-3,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_post-seed,MI0022572,1247882,1247893,-,yes,3p,1312502.0,post-seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_seed,MI0022572,1247894,1247900,-,yes,3p,1312502.0,seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_pre_seed,MI0022572,1247901,1247901,-,yes,3p,1312502.0,pre-seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_loop,MI0022572,1247902,1247918,-,yes,loop,1312502.0,loop,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_post-seed,MI0022572,1247919,1247933,-,yes,5p,1312502.0,post-seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_seed,MI0022572,1247934,1247940,-,yes,5p,1312502.0,seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_pre_seed,MI0022572,1247941,1247941,-,yes,5p,1312502.0,pre-seed,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6727_flanking-5,MI0022572,1247942,1247966,-,yes,5p,1312502.0,flanking-5,hsa-mir-6727,Low,1312566,both,
chr1,hsa-mir-6808_flanking-3,MI0022653,1275005,1275029,-,yes,3p,1339650.0,flanking-3,hsa-mir-6808,Low,1339708,3p,
chr1,hsa-mir-6808_post-seed,MI0022653,1275030,1275042,-,yes,3p,1339650.0,post-seed,hsa-mir-6808,Low,1339708,3p,
chr1,hsa-mir-6808_seed,MI0022653,1275043,1275049,-,yes,3p,1339650.0,seed,hsa-mir-6808,Low,1339708,3p,
chr1,hsa-mir-6808_pre_seed,MI0022653,1275050,1275050,-,yes,3p,1339650.0,pre-seed,hsa-mir-6808,Low,1339708,3p,
