chrom,pre_name,id,stop_pre_build,start_pre_build,indiv_name_nunique,indiv_name_count,pos_nunique,if_complex
chr1,hsa-mir-200a,MI0000737,1167952,1167863.0,3,9,3,1
chr1,hsa-mir-205,MI0000285,209432242,209432133.0,3,6,2,1
chr1,hsa-mir-488,MI0003123,177029445,177029363.0,3,3,1,0
chr1,hsa-mir-6084,MI0020361,20633788,20633679.0,3,6,2,1
chr10,hsa-mir-3155a,MI0014183,6152277,6152196.0,3,3,1,0
chr10,hsa-mir-3155b,MI0016839,6152262,6152207.0,3,3,1,0
chr10,hsa-mir-511,MI0003127,17845193,17845107.0,3,3,1,0
chr10,hsa-mir-6078,MI0020355,3991259,3991160.0,3,6,2,1
chr5,hsa-mir-1303,MI0006370,154685861,154685776.0,1,1,1,0
chr5,hsa-mir-4633,MI0017260,129097766,129097688.0,1,1,1,0
